,Found as,Full name,InDefinitiveList,Start_species,End_species,PositionOfFirstToken,Sentence_species,InReferenceList,Location,Original Tokenised Text,Start_location,End_location,Sentence_location,NZGazAnt,NZGaz,ScarNZ,ScarGlobal,GeoNamesNZ,GeoNamesAnt,GeoNames,exactMatch,Close_Match_NZGazAnt,Close_Match_NZGaz,Close_Match_ScarNZ,Close_Match_ScarGlobal,Close_Match_GeoNamesNZ,Close_Match_GeoNamesAnt,Close_Match,PartialMatch_NZGazAnt,PartialMatch_NZGaz,PartialMatch_ScarNZ,PartialMatch_ScarGlobal,PartialMatch_GeoNamesNZ,PartialMatch_GeoNamesAnt,PartialMatch,inNZ,inAntarctica,Found
0,Hemichloris antarctica,Hemichloris antarctica,True,2914,2916,15649,Free-living algal cells resembling Hemichloris antarctica were also observed beneath lichen symbionts (black asterisks in Fig.,True,McMurdo Dry Valleys,the McMurdo Dry Valleys,25,28,"CrossMark
Endolithic microbial diversity in sandstone and granite from the McMurdo Dry Valleys, Antarctica
Stephen D. J. Archer’?",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
1,Hemichloris antarctica,Hemichloris antarctica,True,2914,2916,15649,Free-living algal cells resembling Hemichloris antarctica were also observed beneath lichen symbionts (black asterisks in Fig.,True,Antarctica,Antarctica,29,30,"CrossMark
Endolithic microbial diversity in sandstone and granite from the McMurdo Dry Valleys, Antarctica
Stephen D. J. Archer’?",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
2,Hemichloris antarctica,Hemichloris antarctica,True,2914,2916,15649,Free-living algal cells resembling Hemichloris antarctica were also observed beneath lichen symbionts (black asterisks in Fig.,True,Antarctica,Antarctica,118,119,"15 August 2016/Published online: 23 August 2016
© Springer-Verlag Berlin Heidelberg 2016
Abstract Cryptic microbial communities develop within rocky substrates in Antarctica’s McMurdo Dry Valleys as a stress avoidance strategy.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
3,Hemichloris antarctica,Hemichloris antarctica,True,2914,2916,15649,Free-living algal cells resembling Hemichloris antarctica were also observed beneath lichen symbionts (black asterisks in Fig.,True,McMurdo Dry Valleys,McMurdo Dry Valleys,120,123,"15 August 2016/Published online: 23 August 2016
© Springer-Verlag Berlin Heidelberg 2016
Abstract Cryptic microbial communities develop within rocky substrates in Antarctica’s McMurdo Dry Valleys as a stress avoidance strategy.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
4,Hemichloris antarctica,Hemichloris antarctica,True,2914,2916,15649,Free-living algal cells resembling Hemichloris antarctica were also observed beneath lichen symbionts (black asterisks in Fig.,True,Mars,Mars,456,457,"The study demonstrates that endolithic microbial communities can be recovered using a drill technology similar to that planned for the search for endolithic biosignatures on Mars.
",False,False,False,False,False,False,True,True,,,,,,,False,,,,,,,False,False,False,True
5,Hemichloris antarctica,Hemichloris antarctica,True,2914,2916,15649,Free-living algal cells resembling Hemichloris antarctica were also observed beneath lichen symbionts (black asterisks in Fig.,True,Antarctica,Antarctica,486,487,"The McMurdo Dry Valleys are the largest ice-free terrestrial environment in Antarctica and comprise the coldest, driest and windiest desert on Earth (Wynn-Williams 1990; Moorhead et al.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
6,Hemichloris antarctica,Hemichloris antarctica,True,2914,2916,15649,Free-living algal cells resembling Hemichloris antarctica were also observed beneath lichen symbionts (black asterisks in Fig.,True,Earth,Earth,497,498,"The McMurdo Dry Valleys are the largest ice-free terrestrial environment in Antarctica and comprise the coldest, driest and windiest desert on Earth (Wynn-Williams 1990; Moorhead et al.",False,False,False,False,False,False,True,True,,,,,,,False,,,,,,,False,False,False,True
7,Hemichloris antarctica,Hemichloris antarctica,True,2914,2916,15649,Free-living algal cells resembling Hemichloris antarctica were also observed beneath lichen symbionts (black asterisks in Fig.,True,McMurdo Dry Valleys,the McMurdo Dry Valleys,1282,1285,"Here we report a study to identify the taxonomic diversity within coloured bands of cryptoendolithic and chasmoendolithic communities (collectively referred to herein as endoliths) for the McMurdo Dry Valleys, Antarctica.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
8,Hemichloris antarctica,Hemichloris antarctica,True,2914,2916,15649,Free-living algal cells resembling Hemichloris antarctica were also observed beneath lichen symbionts (black asterisks in Fig.,True,Antarctica,Antarctica,1286,1287,"Here we report a study to identify the taxonomic diversity within coloured bands of cryptoendolithic and chasmoendolithic communities (collectively referred to herein as endoliths) for the McMurdo Dry Valleys, Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
9,Hemichloris antarctica,Hemichloris antarctica,True,2914,2916,15649,Free-living algal cells resembling Hemichloris antarctica were also observed beneath lichen symbionts (black asterisks in Fig.,True,McMurdo Dry Valleys Antarctic Special Managed Area,the McMurdo Dry Valleys Antarctic Special Managed Area,1341,1348,"Materials and methods Sample retrieval
Colonised rock samples were collected from rock substrates at three locations in the McMurdo Dry Valleys Antarctic Special Managed Area (SCAR 2004).",False,False,False,False,False,False,False,False,,,,,,,False,McMurdo Dry Valleys,McMurdo Dry Valleys,McMurdo Dry Valleys,McMurdo Dry Valleys,,McMurdo Dry Valleys,True,True,True,True
