,Found as,Full name,InDefinitiveList,Start_species,End_species,PositionOfFirstToken,Sentence_species,InReferenceList,Location,Original Tokenised Text,Start_location,End_location,Sentence_location,NZGazAnt,NZGaz,ScarNZ,ScarGlobal,GeoNamesNZ,GeoNamesAnt,GeoNames,exactMatch,Close_Match_NZGazAnt,Close_Match_NZGaz,Close_Match_ScarNZ,Close_Match_ScarGlobal,Close_Match_GeoNamesNZ,Close_Match_GeoNamesAnt,Close_Match,PartialMatch_NZGazAnt,PartialMatch_NZGaz,PartialMatch_ScarNZ,PartialMatch_ScarGlobal,PartialMatch_GeoNamesNZ,PartialMatch_GeoNamesAnt,PartialMatch,inNZ,inAntarctica,Found
0,Campylopus australis,Campylopus australis,True,1728,1730,9064,"A bryophyte OTU detected at exposed and subglacial sites on Mount Erebus, as well as at exposed sites on Mount Melbourne and Mount Rittman (see Table 1 and Online Resource 2), most closely matched Campylopus australis (99% identity); a closely related species, Campylopus pyriformis, 1s known from the summit of Mount Erebus (Skotnicki et al.",False,Antarctica,Antarctica,26,27,"CrossMark
Evidence of plant and animal communities at exposed and subglacial (cave) geothermal sites in Antarctica
",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
1,Campylopus australis,Campylopus australis,True,1728,1730,9064,"A bryophyte OTU detected at exposed and subglacial sites on Mount Erebus, as well as at exposed sites on Mount Melbourne and Mount Rittman (see Table 1 and Online Resource 2), most closely matched Campylopus australis (99% identity); a closely related species, Campylopus pyriformis, 1s known from the summit of Mount Erebus (Skotnicki et al.",False,Antarctica,Antarctica,122,123,"Ice-free terrain around volcanoes in Antarctica is, however, often restricted to small patches, whereas subglacial cave systems, formed by vented volcanic steam, can be extensive and interconnected.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
2,Campylopus australis,Campylopus australis,True,1728,1730,9064,"A bryophyte OTU detected at exposed and subglacial sites on Mount Erebus, as well as at exposed sites on Mount Melbourne and Mount Rittman (see Table 1 and Online Resource 2), most closely matched Campylopus australis (99% identity); a closely related species, Campylopus pyriformis, 1s known from the summit of Mount Erebus (Skotnicki et al.",False,Antarctica,Antarctica,163,164,"No observations of macrobiota have yet been made for subglacial geothermal environments in Antarctica, but these organisms are often patchily distributed and can be difficult to find.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
3,Campylopus australis,Campylopus australis,True,1728,1730,9064,"A bryophyte OTU detected at exposed and subglacial sites on Mount Erebus, as well as at exposed sites on Mount Melbourne and Mount Rittman (see Table 1 and Online Resource 2), most closely matched Campylopus australis (99% identity); a closely related species, Campylopus pyriformis, 1s known from the summit of Mount Erebus (Skotnicki et al.",False,Mount Erebus,Mount Erebus,205,207,"We carried out metabarcoding (eDNA) analyses of soil samples taken from exposed areas on three volcanoes in Victoria Land, and subglacial caves on Mount Erebus.",True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,True,True,True
4,Campylopus australis,Campylopus australis,True,1728,1730,9064,"A bryophyte OTU detected at exposed and subglacial sites on Mount Erebus, as well as at exposed sites on Mount Melbourne and Mount Rittman (see Table 1 and Online Resource 2), most closely matched Campylopus australis (99% identity); a closely related species, Campylopus pyriformis, 1s known from the summit of Mount Erebus (Skotnicki et al.",False,Antarctica,Antarctica,510,511,"Recently, geospatial analyses of species richness patterns have supported the hypothesis that geothermal areas, such as areas associated with active volcanoes, could have acted as glacial refugia for some terrestrial species in Antarctica (Fraser et al. 2014).",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
5,Campylopus australis,Campylopus australis,True,1728,1730,9064,"A bryophyte OTU detected at exposed and subglacial sites on Mount Erebus, as well as at exposed sites on Mount Melbourne and Mount Rittman (see Table 1 and Online Resource 2), most closely matched Campylopus australis (99% identity); a closely related species, Campylopus pyriformis, 1s known from the summit of Mount Erebus (Skotnicki et al.",False,Antarctica,Antarctica,528,529,"Although ice-free terrain on active volcanoes in Antarctica is often restricted to small patches, subglacial cave systems, formed by vented volcanic steam, can be extensive and interconnected",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
6,Campylopus australis,Campylopus australis,True,1728,1730,9064,"A bryophyte OTU detected at exposed and subglacial sites on Mount Erebus, as well as at exposed sites on Mount Melbourne and Mount Rittman (see Table 1 and Online Resource 2), most closely matched Campylopus australis (99% identity); a closely related species, Campylopus pyriformis, 1s known from the summit of Mount Erebus (Skotnicki et al.",False,Lyon,Lyon,552,553,(Lyon and Giggenbach 1974).,False,False,False,False,False,False,True,True,,,,,,,False,,,,,,,False,False,False,True
7,Campylopus australis,Campylopus australis,True,1728,1730,9064,"A bryophyte OTU detected at exposed and subglacial sites on Mount Erebus, as well as at exposed sites on Mount Melbourne and Mount Rittman (see Table 1 and Online Resource 2), most closely matched Campylopus australis (99% identity); a closely related species, Campylopus pyriformis, 1s known from the summit of Mount Erebus (Skotnicki et al.",False,Mount Erebus,Mount Erebus,580,582,"Mount Erebus, an active volcano in Victoria Land, Antarctica, has some permanently ice-free geothermal areas close to the crater summit, as well as large subglacial geothermal cave systems that harbour prokaryotic (Herbold et al. 2014; Tebo et al. 2015) and fungal (Connell and Staudigel 2013) life.",True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,True,True,True
8,Campylopus australis,Campylopus australis,True,1728,1730,9064,"A bryophyte OTU detected at exposed and subglacial sites on Mount Erebus, as well as at exposed sites on Mount Melbourne and Mount Rittman (see Table 1 and Online Resource 2), most closely matched Campylopus australis (99% identity); a closely related species, Campylopus pyriformis, 1s known from the summit of Mount Erebus (Skotnicki et al.",False,Antarctica,Antarctica,590,591,"Mount Erebus, an active volcano in Victoria Land, Antarctica, has some permanently ice-free geothermal areas close to the crater summit, as well as large subglacial geothermal cave systems that harbour prokaryotic (Herbold et al. 2014; Tebo et al. 2015) and fungal (Connell and Staudigel 2013) life.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
9,Campylopus australis,Campylopus australis,True,1728,1730,9064,"A bryophyte OTU detected at exposed and subglacial sites on Mount Erebus, as well as at exposed sites on Mount Melbourne and Mount Rittman (see Table 1 and Online Resource 2), most closely matched Campylopus australis (99% identity); a closely related species, Campylopus pyriformis, 1s known from the summit of Mount Erebus (Skotnicki et al.",False,Antarctica,Antarctica,683,684,"If geothermal environments in Antarctica, including subglacial geothermal caves, could indeed have housed invertebrate 418
and plants during past glacial periods, we hypothesise that diverse species should also live in these environments today.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
10,Campylopus australis,Campylopus australis,True,1728,1730,9064,"A bryophyte OTU detected at exposed and subglacial sites on Mount Erebus, as well as at exposed sites on Mount Melbourne and Mount Rittman (see Table 1 and Online Resource 2), most closely matched Campylopus australis (99% identity); a closely related species, Campylopus pyriformis, 1s known from the summit of Mount Erebus (Skotnicki et al.",False,Mount Erebus,Mount Erebus,823,825,"Methods
Soil samples were collected from geothermal sites on volcanic Mount Erebus (Fig. 1)",True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,True,True,True
11,Campylopus australis,Campylopus australis,True,1728,1730,9064,"A bryophyte OTU detected at exposed and subglacial sites on Mount Erebus, as well as at exposed sites on Mount Melbourne and Mount Rittman (see Table 1 and Online Resource 2), most closely matched Campylopus australis (99% identity); a closely related species, Campylopus pyriformis, 1s known from the summit of Mount Erebus (Skotnicki et al.",False,Mount Rittman,Mount Rittman,860,862,", Mount Melbourne (2732 m, 74°21’/0""S, 164°42’0""E) and Mount Rittman (2600 m, 73°28’20""S, 165°37'20”E).",False,False,False,False,False,False,False,False,Mount Rittmann,Mount Rittmann,Mount Rittmann,Mount Rittmann,,,True,,,,,,,False,True,True,True
12,Campylopus australis,Campylopus australis,True,1728,1730,9064,"A bryophyte OTU detected at exposed and subglacial sites on Mount Erebus, as well as at exposed sites on Mount Melbourne and Mount Rittman (see Table 1 and Online Resource 2), most closely matched Campylopus australis (99% identity); a closely related species, Campylopus pyriformis, 1s known from the summit of Mount Erebus (Skotnicki et al.",False,Mount Erebus,Mount Erebus,948,950,"For the enlarged map of the summit of Mount Erebus, exposed sites are circled by dashed ellipses, and subglacial sites are indicated by white dots.",True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,True,True,True
13,Campylopus australis,Campylopus australis,True,1728,1730,9064,"A bryophyte OTU detected at exposed and subglacial sites on Mount Erebus, as well as at exposed sites on Mount Melbourne and Mount Rittman (see Table 1 and Online Resource 2), most closely matched Campylopus australis (99% identity); a closely related species, Campylopus pyriformis, 1s known from the summit of Mount Erebus (Skotnicki et al.",False,Sea,Sea,1076,1077,"OS3, Sea?",False,False,False,False,False,False,True,True,,,,,,,False,,,,,,,False,False,False,True
14,Campylopus australis,Campylopus australis,True,1728,1730,9064,"A bryophyte OTU detected at exposed and subglacial sites on Mount Erebus, as well as at exposed sites on Mount Melbourne and Mount Rittman (see Table 1 and Online Resource 2), most closely matched Campylopus australis (99% identity); a closely related species, Campylopus pyriformis, 1s known from the summit of Mount Erebus (Skotnicki et al.",False,Mount Erebus,Mount Erebus,1449,1451,"The Ion Torrent analyses resulted in 16 non-fungal OTUs for COI, and 39 for 28S, across all sites sampled (Mount Erebus, Mount Rittman and Mount Melbourne).",True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,True,True,True
15,Campylopus australis,Campylopus australis,True,1728,1730,9064,"A bryophyte OTU detected at exposed and subglacial sites on Mount Erebus, as well as at exposed sites on Mount Melbourne and Mount Rittman (see Table 1 and Online Resource 2), most closely matched Campylopus australis (99% identity); a closely related species, Campylopus pyriformis, 1s known from the summit of Mount Erebus (Skotnicki et al.",False,Mount Rittman,Mount Rittman,1452,1454,"The Ion Torrent analyses resulted in 16 non-fungal OTUs for COI, and 39 for 28S, across all sites sampled (Mount Erebus, Mount Rittman and Mount Melbourne).",False,False,False,False,False,False,False,False,Mount Rittmann,Mount Rittmann,Mount Rittmann,Mount Rittmann,,,True,,,,,,,False,True,True,True
16,Campylopus australis,Campylopus australis,True,1728,1730,9064,"A bryophyte OTU detected at exposed and subglacial sites on Mount Erebus, as well as at exposed sites on Mount Melbourne and Mount Rittman (see Table 1 and Online Resource 2), most closely matched Campylopus australis (99% identity); a closely related species, Campylopus pyriformis, 1s known from the summit of Mount Erebus (Skotnicki et al.",False,Mount Melbourne,Mount Melbourne,1455,1457,"The Ion Torrent analyses resulted in 16 non-fungal OTUs for COI, and 39 for 28S, across all sites sampled (Mount Erebus, Mount Rittman and Mount Melbourne).",True,True,True,True,False,False,False,True,,,,,,,,,,,,,,,True,True,True
17,Campylopus australis,Campylopus australis,True,1728,1730,9064,"A bryophyte OTU detected at exposed and subglacial sites on Mount Erebus, as well as at exposed sites on Mount Melbourne and Mount Rittman (see Table 1 and Online Resource 2), most closely matched Campylopus australis (99% identity); a closely related species, Campylopus pyriformis, 1s known from the summit of Mount Erebus (Skotnicki et al.",False,Antarctica,Antarctica,1631,1632,Some non-fungal OTUs from one subglacial site (Warren Cave) most closely matched taxa that are not naturally found in Antarctica (see Online Resource 2).,False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
18,Campylopus australis,Campylopus australis,True,1728,1730,9064,"A bryophyte OTU detected at exposed and subglacial sites on Mount Erebus, as well as at exposed sites on Mount Melbourne and Mount Rittman (see Table 1 and Online Resource 2), most closely matched Campylopus australis (99% identity); a closely related species, Campylopus pyriformis, 1s known from the summit of Mount Erebus (Skotnicki et al.",False,Mount Erebus,Mount Erebus,1700,1702,"A bryophyte OTU detected at exposed and subglacial sites on Mount Erebus, as well as at exposed sites on Mount Melbourne and Mount Rittman (see Table 1 and Online Resource 2), most closely matched Campylopus australis (99% identity); a closely related species, Campylopus pyriformis, 1s known from the summit of Mount Erebus (Skotnicki et al.",True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,True,True,True
