,Found as,Full name,InDefinitiveList,Start_species,End_species,PositionOfFirstToken,Sentence_species,InReferenceList,Location,Original Tokenised Text,Start_location,End_location,Sentence_location,NZGazAnt,NZGaz,ScarNZ,ScarGlobal,GeoNamesNZ,GeoNamesAnt,GeoNames,exactMatch,Close_Match_NZGazAnt,Close_Match_NZGaz,Close_Match_ScarNZ,Close_Match_ScarGlobal,Close_Match_GeoNamesNZ,Close_Match_GeoNamesAnt,Close_Match,PartialMatch_NZGazAnt,PartialMatch_NZGaz,PartialMatch_ScarNZ,PartialMatch_ScarGlobal,PartialMatch_GeoNamesNZ,PartialMatch_GeoNamesAnt,PartialMatch,inNZ,inAntarctica,Found
0,Leptolyngbya and,Leptolyngbya and,False,6672,6674,33717,"On sample T1, Leptolyngbya and Pseudanabaena genera were well represented while in sample T2,",False,McMurdo Dry Valleys,McMurdo Dry Valleys,378,381,"10.3389/fmicb.2019.01018
Bacterial diversity from McMurdo Dry Valleys in Antarctica, the coldest desert on earth, has become more easily assessed with the development of High Throughput Sequencing (HTS) techniques.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
1,Leptolyngbya and,Leptolyngbya and,False,6672,6674,33717,"On sample T1, Leptolyngbya and Pseudanabaena genera were well represented while in sample T2,",False,Antarctica,Antarctica,382,383,"10.3389/fmicb.2019.01018
Bacterial diversity from McMurdo Dry Valleys in Antarctica, the coldest desert on earth, has become more easily assessed with the development of High Throughput Sequencing (HTS) techniques.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
2,Leptolyngbya and,Leptolyngbya and,False,6672,6674,33717,"On sample T1, Leptolyngbya and Pseudanabaena genera were well represented while in sample T2,",False,McMurdo Dry Valleys,McMurdo Dry Valleys,449,452,"In this study, we combine cultivation and HIS techniques to survey actinobacteria and cyanobacteria diversity along different soll and endolithic micro-environments of Victoria Valley in McMurdo Dry Valleys.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
3,Leptolyngbya and,Leptolyngbya and,False,6672,6674,33717,"On sample T1, Leptolyngbya and Pseudanabaena genera were well represented while in sample T2,",False,Dry Valleys,the Dry Valleys,458,460,"Our results demonstrate that the Dry Valleys actinobacteria and cyanobacteria distribution is driven by environmental forces, in particular the effect of water availability and endolithic environments clearly conditioned the distribution of those communities.",False,False,False,False,False,False,False,False,Dry Valley,Dry Valley,,,,,True,,,,,,,False,True,True,True
4,Leptolyngbya and,Leptolyngbya and,False,6672,6674,33717,"On sample T1, Leptolyngbya and Pseudanabaena genera were well represented while in sample T2,",False,McMurdo Dry Valleys,McMurdo Dry Valleys,767,770,"Keywords: actinobacteria, McMurdo Dry Valleys, Antarctic soil, bacteria diversity, bacterial cultivability, endolitic microbiota, Antarctic microenvironments, cyanobacteria
INTRODUCTION
",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
5,Leptolyngbya and,Leptolyngbya and,False,6672,6674,33717,"On sample T1, Leptolyngbya and Pseudanabaena genera were well represented while in sample T2,",False,Antarctica,Antarctica,793,794,The continent of Antarctica comprises about 0.34% ice-free areas (,False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
6,Leptolyngbya and,Leptolyngbya and,False,6672,6674,33717,"On sample T1, Leptolyngbya and Pseudanabaena genera were well represented while in sample T2,",False,McMurdo Dry Valleys,the McMurdo Dry Valleys,825,828,"In the McMurdo Dry Valleys (henceforth Dry Valleys), the largest ice-free region of the Antarctic continent",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
7,Leptolyngbya and,Leptolyngbya and,False,6672,6674,33717,"On sample T1, Leptolyngbya and Pseudanabaena genera were well represented while in sample T2,",False,Dry Valleys,Dry Valleys,830,832,"In the McMurdo Dry Valleys (henceforth Dry Valleys), the largest ice-free region of the Antarctic continent",False,False,False,False,False,False,False,False,Dry Valley,Dry Valley,,,,,True,,,,,,,False,True,True,True
8,Leptolyngbya and,Leptolyngbya and,False,6672,6674,33717,"On sample T1, Leptolyngbya and Pseudanabaena genera were well represented while in sample T2,",False,Dry Valleys,the Dry Valleys,990,992,Oligotrophic soils from the Dry Valleys are considered to be microbiologically distinct from all other soils worldwide,False,False,False,False,False,False,False,False,Dry Valley,Dry Valley,,,,,True,,,,,,,False,True,True,True
9,Leptolyngbya and,Leptolyngbya and,False,6672,6674,33717,"On sample T1, Leptolyngbya and Pseudanabaena genera were well represented while in sample T2,",False,Dry Valleys,Dry Valleys,1185,1187,"In addition to soil environments, rocky niches are of particular relevance in the Dry Valleys ecosystems since they provide protection to different biota from harsh environmental conditions such as intense solar radiation exposure, temperature fluctuations, wind, and desiccation (Cockell and Stokes, 2004; Walker and Pace, 2007).",False,False,False,False,False,False,False,False,Dry Valley,Dry Valley,,,,,True,,,,,,,False,True,True,True
