,Found as,Full name,InDefinitiveList,Start_species,End_species,PositionOfFirstToken,Sentence_species,InReferenceList,Location,Original Tokenised Text,Start_location,End_location,Sentence_location,NZGazAnt,NZGaz,ScarNZ,ScarGlobal,GeoNamesNZ,GeoNamesAnt,GeoNames,exactMatch,Close_Match_NZGazAnt,Close_Match_NZGaz,Close_Match_ScarNZ,Close_Match_ScarGlobal,Close_Match_GeoNamesNZ,Close_Match_GeoNamesAnt,Close_Match,PartialMatch_NZGazAnt,PartialMatch_NZGaz,PartialMatch_ScarNZ,PartialMatch_ScarGlobal,PartialMatch_GeoNamesNZ,PartialMatch_GeoNamesAnt,PartialMatch,inNZ,inAntarctica,Found
0,Plectus murrayi,Plectus murrayi,True,1191,1193,6856,"common MDV nematode species are Plectus murrayi, Eudorylaimus antarcticus, and Scottnema lindsayae*",True,McMurdo Dry Valleys (Antarctica,the McMurdo Dry Valleys (Antarctica,134,139,We modelled co-occurrence and distribution of the three nematode species that dominate the soil food web of the McMurdo Dry Valleys (Antarctica).,False,False,False,False,False,False,False,False,,,,,,,False,McMurdo Dry Valleys,McMurdo Dry Valleys,McMurdo Dry Valleys,McMurdo Dry Valleys,,McMurdo Dry Valleys,True,True,True,True
1,Plectus murrayi,Plectus murrayi,True,1191,1193,6856,"common MDV nematode species are Plectus murrayi, Eudorylaimus antarcticus, and Scottnema lindsayae*",True,McMurdo Dry Valleys,the McMurdo Dry Valleys,954,957,"To address this challenge in the present study, we targeted the soil ecosystem of the McMurdo Dry Valleys (MDVs) of Antarctica.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
2,Plectus murrayi,Plectus murrayi,True,1191,1193,6856,"common MDV nematode species are Plectus murrayi, Eudorylaimus antarcticus, and Scottnema lindsayae*",True,Antarctica,Antarctica,961,962,"To address this challenge in the present study, we targeted the soil ecosystem of the McMurdo Dry Valleys (MDVs) of Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
3,Plectus murrayi,Plectus murrayi,True,1191,1193,6856,"common MDV nematode species are Plectus murrayi, Eudorylaimus antarcticus, and Scottnema lindsayae*",True,Earth,Earth,984,985,"These valleys represent the largest ice-free area of the Antarctic continent, host the driest and coldest soils on Earth and are part of the US National Science Foundation",False,False,False,False,False,False,True,True,,,,,,,False,,,,,,,False,False,False,True
4,Plectus murrayi,Plectus murrayi,True,1191,1193,6856,"common MDV nematode species are Plectus murrayi, Eudorylaimus antarcticus, and Scottnema lindsayae*",True,Earth,Earth,1054,1055,"Species richness is indeed possibly the lowest on Earth and the harsh environmental conditions make it possible to identify the most important environmental determinants of species distribution (e.g., water availability)°°°.",False,False,False,False,False,False,True,True,,,,,,,False,,,,,,,False,False,False,True
5,Plectus murrayi,Plectus murrayi,True,1191,1193,6856,"common MDV nematode species are Plectus murrayi, Eudorylaimus antarcticus, and Scottnema lindsayae*",True,McMurdo Dry Valleys,the McMurdo Dry Valleys,4680,4683,"4 Map of the 220 km2 study area, in the McMurdo Dry Valleys.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
6,Plectus murrayi,Plectus murrayi,True,1191,1193,6856,"common MDV nematode species are Plectus murrayi, Eudorylaimus antarcticus, and Scottnema lindsayae*",True,Antarctica°®,Antarctica°®,4981,4984,"At the same time, climatic changes are happening at increasing rates in some areas of Antarctica°®.",False,False,False,False,False,False,False,False,,,,Antarctica,,Antarctica,True,,,,,,,False,False,True,True
7,Plectus murrayi,Plectus murrayi,True,1191,1193,6856,"common MDV nematode species are Plectus murrayi, Eudorylaimus antarcticus, and Scottnema lindsayae*",True,Dry Valleys,the Dry Valleys,5196,5198,"ictar.aq), which was initiated during the International Polar Year 2007-2008, and drew a diverse range of international expertise to profile the biology, geochemistry, geology, and climate of the Dry Valleys (Fig. 4).",False,False,False,False,False,False,False,False,Dry Valley,Dry Valley,,,,,True,,,,,,,False,True,True,True
8,Plectus murrayi,Plectus murrayi,True,1191,1193,6856,"common MDV nematode species are Plectus murrayi, Eudorylaimus antarcticus, and Scottnema lindsayae*",True,Dry Valley,Dry Valley,5226,5228,The study is among the most comprehensive landscape-scale biodiversity surveys undertaken and includes nearly all trophic components found in the Dry Valley ecosystem.,True,True,False,False,False,False,True,True,,,,,,,,,,,,,,,True,True,True
9,Plectus murrayi,Plectus murrayi,True,1191,1193,6856,"common MDV nematode species are Plectus murrayi, Eudorylaimus antarcticus, and Scottnema lindsayae*",True,Central Park,Central Park,7809,7811,Biogeographic patterns in below-ground diversity in New York City’s Central Park are similar to those observed globally.,False,False,False,False,False,False,True,True,,,,,,,False,,,,,,,False,False,False,True
