,geonameid,name,asciiname,latitude,longitude,country code
177344,4036624,Weddell Sea,Weddell Sea,-73.0,-45.0,AQ
177345,4036625,Ross Sea,Ross Sea,-75.0,-175.0,AQ
177346,4036627,Davis Sea,Davis Sea,-66.0,93.5,AQ
177347,4036628,Bellingshausen Sea,Bellingshausen Sea,-71.0,-85.0,AQ
177348,4036629,Amundsen Sea,Amundsen Sea,-72.5,-111.91667,AQ
177349,4036648,Vigilante,Vigilante,-69.98333000000001,-69.98333000000001,AQ
177350,4036652,Wilson Canyon,Wilson Canyon,-70.58333,176.25,AQ
177351,4036653,Whales Bay Furrows,Whales Bay Furrows,-78.0,-169.0,AQ
177352,4036654,Wegener Canyon,Wegener Canyon,-70.75,-14.0,AQ
177353,4036655,Weddell Plain,Weddell Plain,-65.0,-20.0,AQ
177354,4036656,Vaughan Bank,Vaughan Bank,-67.61667,163.5,AQ
177355,4036657,Vanderford Valley,Vanderford Valley,-66.41667,110.16667,AQ
177356,4036658,Umitaka Bank,Umitaka Bank,-67.41667,167.0,AQ
177357,4036659,Tressler Bank,Tressler Bank,-65.0,95.0,AQ
177358,4036660,Terra Nova Canyon,Terra Nova Canyon,-69.0,159.0,AQ
177359,4036662,Sulzberger Basin,Sulzberger Basin,-77.0,-152.5,AQ
177360,4036663,South Shetland Trough,South Shetland Trough,-61.0,-59.5,AQ
177361,4036665,South Sandwich Fracture Zone,South Sandwich Fracture Zone,-63.0,-20.0,AQ
177362,4036669,Shirase Bank,Shirase Bank,-76.66667,-158.0,AQ
177363,4036671,Scott Shoal,Scott Shoal,-73.25,177.75,AQ
177364,4036672,Scott Seamounts,Scott Seamounts,-68.0,-179.83333000000002,AQ
177365,4036673,Scott Island Bank,Scott Island Bank,-67.75,-179.91666999999998,AQ
177366,4036674,Saunders Basin,Saunders Basin,-76.83333,-155.0,AQ
177367,4036675,Ross Canyon,Ross Canyon,-75.0,-163.0,AQ
177368,4036676,Ross Bank,Ross Bank,-76.75,176.0,AQ
177369,4036677,Prestrud Bank,Prestrud Bank,-77.5,-159.5,AQ
177370,4036678,Powell Basin,Powell Basin,-62.25,-49.5,AQ
177371,4036679,Porpoise Basin,Porpoise Basin,-66.16667,128.5,AQ
177372,4036680,Petersen Bank,Petersen Bank,-65.75,109.91667,AQ
177373,4036681,Pennell Bank,Pennell Bank,-74.5,179.98333,AQ
177374,4036682,Pacific-Antarctic Ridge,Pacific-Antarctic Ridge,-62.0,-157.0,AQ
177375,4036683,Oates Canyon,Oates Canyon,-68.0,164.5,AQ
177376,4036684,Oates Bank,Oates Bank,-70.25,165.0,AQ
177377,4036685,Nordenskjöld Basin,Nordenskjold Basin,-76.05,165.0,AQ
177378,4036686,Mertz-Ninnis Valley,Mertz-Ninnis Valley,-67.41667,146.0,AQ
177379,4036687,Mawson Bank,Mawson Bank,-73.5,174.0,AQ
177380,4036689,Maud Rise,Maud Rise,-66.0,3.0,AQ
177381,4036690,Marie Byrd Seamount,Marie Byrd Seamount,-70.0,-118.0,AQ
177382,4036691,Little America Basin,Little America Basin,-77.5,-162.0,AQ
177383,4036692,Ligeti Ridge,Ligeti Ridge,-62.0,-28.0,AQ
177384,4036693,Lazarev Trough,Lazarev Trough,-65.58333,130.0,AQ
177385,4036694,JOIDES Basin,JOIDES Basin,-74.5,174.0,AQ
177386,4036695,Iselin Seamount,Iselin Seamount,-70.75,-178.25,AQ
177387,4036696,Iselin Bank,Iselin Bank,-72.5,-179.0,AQ
177388,4036697,Hjort Fracture Zone,Hjort Fracture Zone,-62.0,163.0,AQ
177389,4036698,Hero Fracture Zone,Hero Fracture Zone,-61.5,-66.0,AQ
177390,4036699,Gunnerus Ridge,Gunnerus Ridge,-66.5,33.75,AQ
177391,4036700,Gunnerus Bank,Gunnerus Bank,-68.0,33.0,AQ
177392,4036701,Glomar Challenger Basin,Glomar Challenger Basin,-77.75,180.0,AQ
177393,4036702,Franklin Shoals,Franklin Shoals,-76.0,169.0,AQ
177394,4036703,Fram Bank,Fram Bank,-67.3,70.0,AQ
177395,4036704,Four Ladies Bank,Four Ladies Bank,-67.5,77.5,AQ
177396,4036705,Endurance Ridge,Endurance Ridge,-62.5,-40.0,AQ
177397,4036707,Dubinin Trough,Dubinin Trough,-67.16667,80.5,AQ
177398,4036708,Drygalski Basin,Drygalski Basin,-74.83333,166.5,AQ
177399,4036709,Dibble Basin,Dibble Basin,-65.33333,133.0,AQ
177400,4036710,De Gerlache Seamounts,De Gerlache Seamounts,-65.0,-90.5,AQ
177401,4036711,Crary Bank,Crary Bank,-75.0,169.0,AQ
177402,4036713,Colbeck Basin,Colbeck Basin,-77.0,-159.5,AQ
177403,4036715,Charcot Fan,Charcot Fan,-66.0,-86.0,AQ
177404,4036716,Byrd Canyon,Byrd Canyon,-75.5,-157.25,AQ
177405,4036717,Bruce Spur,Bruce Spur,-63.5,101.25,AQ
177406,4036719,Brategg Bank,Brategg Bank,-65.25,-68.6,AQ
177407,4036720,Bransfield Trough,Bransfield Trough,-61.5,-54.0,AQ
177408,4036722,Bowers Canyon,Bowers Canyon,-71.91667,172.5,AQ
177409,4036723,Borchgrevink Canyon,Borchgrevink Canyon,-70.25,170.25,AQ
177410,4036724,Berkner Bank,Berkner Bank,-75.0,-48.0,AQ
177411,4036725,Bellingshausen Plain,Bellingshausen Plain,-64.0,-90.0,AQ
177412,4036726,Belgrano Bank,Belgrano Bank,-73.0,-48.5,AQ
177413,4036727,Balleny Trough,Balleny Trough,-66.0,158.0,AQ
177414,4036728,Balleny Seamounts,Balleny Seamounts,-61.0,161.5,AQ
177415,4036729,Balleny Fracture Zone,Balleny Fracture Zone,-62.0,156.0,AQ
177416,4036730,Balleny Basin,Balleny Basin,-67.0,170.0,AQ
177417,4036732,Astrid Ridge,Astrid Ridge,-68.0,12.0,AQ
177418,4036733,Amundsen Plain,Amundsen Plain,-65.0,-125.0,AQ
177419,4036734,Amery Basin,Amery Basin,-68.25,74.5,AQ
177420,4036735,Adélie Valley,Adelie Valley,-65.5,136.0,AQ
177421,4036736,Adare Seamounts,Adare Seamounts,-70.0,171.5,AQ
177422,4036737,Heirtzler Fracture Zone,Heirtzler Fracture Zone,-63.5,162.5,AQ
177423,4036738,Pitman Fracture Zone,Pitman Fracture Zone,-64.5,-170.0,AQ
177424,4036739,Barsukov Seamount,Barsukov Seamount,-61.05,-29.2,AQ
177425,4036740,Hespérides Trough,Hesperides Trough,-60.35,-50.83333,AQ
177426,4036741,Belgica Guyot,Belgica Guyot,-65.5,-90.5,AQ
177427,4036742,Dallmann Seamount,Dallmann Seamount,-67.16667,-96.88333,AQ
177428,4036743,Lecointe Guyot,Lecointe Guyot,-65.1,-93.0,AQ
177429,4036744,Rosenthal Seamount,Rosenthal Seamount,-68.63333,-97.08333,AQ
177430,4036745,Emerald Fracture Zone,Emerald Fracture Zone,-62.0,170.0,AQ
177431,4036746,Akademik Federov Canyon,Akademik Federov Canyon,-72.75,-32.0,AQ
177432,4036747,Albert Bank,Albert Bank,-77.16667,-32.75,AQ
177433,4036748,Andenes Knoll,Andenes Knoll,-72.43333,-22.83333,AQ
177434,4036749,Behm Bank,Behm Bank,-76.35,-30.0,AQ
177435,4036750,Brunt Basin,Brunt Basin,-75.0,-25.0,AQ
177436,4036751,Crary Fan,Crary Fan,-74.0,-33.0,AQ
177437,4036752,Dawson-Lambton Trough,Dawson-Lambton Trough,-76.0,-26.0,AQ
177438,4036753,Defant Bank,Defant Bank,-76.83333,-31.66667,AQ
177439,4036754,Explora Knoll,Explora Knoll,-72.0,-24.0,AQ
177440,4036755,Explora Escarpment,Explora Escarpment,-70.55,-15.0,AQ
177441,4036756,Filchner Trough,Filchner Trough,-77.0,-36.0,AQ
177442,4036757,Freeden Bank,Freeden Bank,-76.33333,-28.83333,AQ
177443,4036758,Helmert Bank,Helmert Bank,-75.0,-29.33333,AQ
177444,4036759,Hofmann Trough,Hofmann Trough,-77.0,-32.5,AQ
177445,4036760,Lichte Trough,Lichte Trough,-76.41667,-30.0,AQ
177446,4036761,McDonald Bank,McDonald Bank,-75.5,-26.58333,AQ
177447,4036762,Möller Trough,Moller Trough,-76.58333,-30.66667,AQ
177448,4036763,Polarstern Knoll,Polarstern Knoll,-71.41667,-24.78333,AQ
