,Found as,Full name,InDefinitiveList,Start_species,End_species,PositionOfFirstToken,Sentence_species,InReferenceList,Location,Original Tokenised Text,Start_location,End_location,Sentence_location,NZGazAnt,NZGaz,ScarNZ,ScarGlobal,GeoNamesNZ,GeoNamesAnt,GeoNames,exactMatch,Close_Match_NZGazAnt,Close_Match_NZGaz,Close_Match_ScarNZ,Close_Match_ScarGlobal,Close_Match_GeoNamesNZ,Close_Match_GeoNamesAnt,Close_Match,PartialMatch_NZGazAnt,PartialMatch_NZGaz,PartialMatch_ScarNZ,PartialMatch_ScarGlobal,PartialMatch_GeoNamesNZ,PartialMatch_GeoNamesAnt,PartialMatch,inNZ,inAntarctica,Found
0,Antarcticinella monoculata,Antarcticinella monoculata,True,289,291,1664,"Key words: Antarcticinella monoculata, biomonitoring, climate change,",True,Mackay Glacier,the Mackay Glacier,20,22,"762 a NRC
Research Press ARTICLE
Genetic diversity among populations of Antarctic springtails (Collembola) within the Mackay Glacier ecotone!
 
 
 
 
",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
1,Antarcticinella monoculata,Antarcticinella monoculata,True,289,291,1664,"Key words: Antarcticinella monoculata, biomonitoring, climate change,",True,Ross Sea,the Ross Sea,78,80,"To assess arthropod distribution and diversity within the Ross Sea region, we examined mitochondrial DNA (COI) sequences for three currently recognized species of springtail (Collembola) collected from sites in the vicinity, and to the north of, the Mackay Glacier (77°S).",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
2,Antarcticinella monoculata,Antarcticinella monoculata,True,289,291,1664,"Key words: Antarcticinella monoculata, biomonitoring, climate change,",True,Mackay Glacier,the Mackay Glacier,114,116,"To assess arthropod distribution and diversity within the Ross Sea region, we examined mitochondrial DNA (COI) sequences for three currently recognized species of springtail (Collembola) collected from sites in the vicinity, and to the north of, the Mackay Glacier (77°S).",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
3,Antarcticinella monoculata,Antarcticinella monoculata,True,289,291,1664,"Key words: Antarcticinella monoculata, biomonitoring, climate change,",True,Mackay Glacier,the Mackay Glacier,281,283,"Given the currently limited distributions for these genetically divergent populations, any future changes in species’ distributions can be easily tracked through the DNA barcoding of springtails from within the Mackay Glacier ecotone.
",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
4,Antarcticinella monoculata,Antarcticinella monoculata,True,289,291,1664,"Key words: Antarcticinella monoculata, biomonitoring, climate change,",True,Antarctica,Antarctica,956,957,"Furthermore, this limited diversity is spread across the highly fragmented 0.32% of Antarctica that is currently considered ice-free (Pugh and Convey 2008).",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
5,Antarcticinella monoculata,Antarcticinella monoculata,True,289,291,1664,"Key words: Antarcticinella monoculata, biomonitoring, climate change,",True,McMurdo Dry Valleys,the McMurdo Dry Valleys,1119,1122,The Mackay Glacier in southern Victoria Land is situated immediately to the north of the McMurdo Dry Valleys.,True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
6,Antarcticinella monoculata,Antarcticinella monoculata,True,289,291,1664,"Key words: Antarcticinella monoculata, biomonitoring, climate change,",True,Dry Valleys,Dry Valleys,1134,1136,"Here, the landscape changes from one dominated by the expansive Dry Valleys to one of small rocky outcrops isolated by glaciers.",False,False,False,False,False,False,False,False,Dry Valley,Dry Valley,,,,,True,,,,,,,False,True,True,True
7,Antarcticinella monoculata,Antarcticinella monoculata,True,289,291,1664,"Key words: Antarcticinella monoculata, biomonitoring, climate change,",True,McMurdo Dry Valleys,the McMurdo Dry Valleys,1180,1183,"For example, only one species of springtail (Gomphiocephalus hodgsoni) is known from the McMurdo Dry Valleys, whereas an additional two species (Antarcticinella monoculata and Cryptopygus nivicolis) are found north of the Dry Valleys",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
8,Antarcticinella monoculata,Antarcticinella monoculata,True,289,291,1664,"Key words: Antarcticinella monoculata, biomonitoring, climate change,",True,Dry Valleys,the Dry Valleys,1201,1203,"For example, only one species of springtail (Gomphiocephalus hodgsoni) is known from the McMurdo Dry Valleys, whereas an additional two species (Antarcticinella monoculata and Cryptopygus nivicolis) are found north of the Dry Valleys",False,False,False,False,False,False,False,False,Dry Valley,Dry Valley,,,,,True,,,,,,,False,True,True,True
9,Antarcticinella monoculata,Antarcticinella monoculata,True,289,291,1664,"Key words: Antarcticinella monoculata, biomonitoring, climate change,",True,Ross Sea,the Ross Sea,1237,1239,"Within the Ross Sea region, three biogeographic zones have been designated (northern Victoria Land, southern Victoria Land, and the Queen Maud Mountains), each with three, and in one case four, reported species of springtail for a total of 10 species within the region (Salmon 1965; Wise 1967; Adams et al. 2006; Sinclair and Stevens 2006).",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
