,Found as,Full name,InDefinitiveList,Start_species,End_species,PositionOfFirstToken,Sentence_species,InReferenceList,Location,Original Tokenised Text,Start_location,End_location,Sentence_location,NZGazAnt,NZGaz,ScarNZ,ScarGlobal,GeoNamesNZ,GeoNamesAnt,GeoNames,exactMatch,Close_Match_NZGazAnt,Close_Match_NZGaz,Close_Match_ScarNZ,Close_Match_ScarGlobal,Close_Match_GeoNamesNZ,Close_Match_GeoNamesAnt,Close_Match,PartialMatch_NZGazAnt,PartialMatch_NZGaz,PartialMatch_ScarNZ,PartialMatch_ScarGlobal,PartialMatch_GeoNamesNZ,PartialMatch_GeoNamesAnt,PartialMatch,inNZ,inAntarctica,Found
0,Friesea sp,Friesea sp,False,166,168,901,"The same population was recorded by Bulavintsev (1995) as Friesea sp., and individuals are here found to have only five ocelli with 1 + 1 reduced on each side of the head, thus differing from all other Antarctic species.",False,"Antarctic Continent
","the Antarctic Continent
",44,47,"Taylor & Francis Taylor & Francis Group
Journal of Natural History
 
ISSN: 0022-2933 (Print) 1464-5262 (Online) Journal homepage: http://www.tandfonline.com/loi/tnah20
 
A new species of Friesea (Collembola: Neanuridae) from the Antarctic Continent
Penelope Greenslade
To cite this article: Penelope Greenslade (2018)",False,False,False,False,False,False,False,False,,,,Antarctic Continent,,,True,,,,Antarctic Continent,,,True,False,True,True
1,Friesea sp,Friesea sp,False,166,168,901,"The same population was recorded by Bulavintsev (1995) as Friesea sp., and individuals are here found to have only five ocelli with 1 + 1 reduced on each side of the head, thus differing from all other Antarctic species.",False,Antarctic Continent,the Antarctic Continent,72,74,"A new species of Friesea (Collembola: Neanuridae) from the Antarctic Continent, Journal of Natural History, 52:33-34, 2197-2207, DOI:",False,False,False,True,False,False,False,True,,,,,,,,,,,,,,,False,True,True
2,Friesea sp,Friesea sp,False,166,168,901,"The same population was recorded by Bulavintsev (1995) as Friesea sp., and individuals are here found to have only five ocelli with 1 + 1 reduced on each side of the head, thus differing from all other Antarctic species.",False,Eastern Antarctica,Eastern Antarctica,952,954,"(Figures 1-3)
Type locality
Tereshkovoi Oasis, near Molodyezhnaya Station, Enderby Land, Eastern Antarctica, 67.66527778S, 45.8338333E, leg V. Bulavintsev, 6.1.1989, (SAMA).
",False,False,False,False,False,False,False,False,,,,East Antarctica,,,True,,,,,,,False,False,True,True
3,Friesea sp,Friesea sp,False,166,168,901,"The same population was recorded by Bulavintsev (1995) as Friesea sp., and individuals are here found to have only five ocelli with 1 + 1 reduced on each side of the head, thus differing from all other Antarctic species.",False,D. East Antarctica,D. East Antarctica,977,980,"Material examined Holotype: Male, slide D. East Antarctica, Tereshkovoi Oasis, 6 January 1989, V. Bulavintsev
(2 coverslips).",False,False,False,False,False,False,False,False,,,,East Antarctica,,,True,,,,East Antarctica,,,True,False,True,True
4,Friesea sp,Friesea sp,False,166,168,901,"The same population was recorded by Bulavintsev (1995) as Friesea sp., and individuals are here found to have only five ocelli with 1 + 1 reduced on each side of the head, thus differing from all other Antarctic species.",False,Campbell Island,Campbell Island,2591,2593,"Friesea flava Salmon 1949 from Campbell Island has the same number of ocelli and anal spines, but it has a welldeveloped furca.",False,True,False,False,True,False,True,True,,,,,,,,,,,,,,,True,False,True
5,Friesea sp,Friesea sp,False,166,168,901,"The same population was recorded by Bulavintsev (1995) as Friesea sp., and individuals are here found to have only five ocelli with 1 + 1 reduced on each side of the head, thus differing from all other Antarctic species.",False,Molodyezhnaya,Molodyezhnaya,2807,2808,It is found quite commonly in ice-free areas in and around the Russian station Molodyezhnaya.,False,False,False,False,False,False,False,False,,,,Molodezhnaya,,,True,,,,,,,False,False,True,True
6,Friesea sp,Friesea sp,False,166,168,901,"The same population was recorded by Bulavintsev (1995) as Friesea sp., and individuals are here found to have only five ocelli with 1 + 1 reduced on each side of the head, thus differing from all other Antarctic species.",False,Antarctic Peninsula,Antarctic Peninsula,2891,2893,Checklist and distribution of Friesea species from the Antarctic continent and Antarctic Peninsula.,False,False,False,True,False,False,False,True,,,,,,,,,,,,,,,False,True,True
7,Friesea sp,Friesea sp,False,166,168,901,"The same population was recorded by Bulavintsev (1995) as Friesea sp., and individuals are here found to have only five ocelli with 1 + 1 reduced on each side of the head, thus differing from all other Antarctic species.",False,Antarctic Peninsula,Antarctic Peninsula,2918,2920,"Harry Island, Gerlache Straits, Antarctic Peninsula
Friesea eureka",False,False,False,True,False,False,False,True,,,,,,,,,,,,,,,False,True,True
8,Friesea sp,Friesea sp,False,166,168,901,"The same population was recorded by Bulavintsev (1995) as Friesea sp., and individuals are here found to have only five ocelli with 1 + 1 reduced on each side of the head, thus differing from all other Antarctic species.",False,Alexander Island,Alexander Island,2951,2953,"South Georgia; various doubtful localities Antarctic continent Friesea topo Greenslade, 1985 Alexander Island, Marguerite Bay; ?",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
9,Friesea sp,Friesea sp,False,166,168,901,"The same population was recorded by Bulavintsev (1995) as Friesea sp., and individuals are here found to have only five ocelli with 1 + 1 reduced on each side of the head, thus differing from all other Antarctic species.",False,Keller Peninsula,Keller Peninsula,2981,2983,"Friesea_ wyciechowskii Weiner, 1980 King George Island, Keller Peninsula,
Livingston Island, King George Island; Deception Island, South Shetland Island; South Orkneys
2500 km, so the likelihood of contact is low.",False,False,False,True,False,False,False,True,,,,,,,,,,,,,,,False,True,True
