,Found as,Full name,InDefinitiveList,Start_species,End_species,PositionOfFirstToken,Sentence_species,InReferenceList,Location,Original Tokenised Text,Start_location,End_location,Sentence_location,NZGazAnt,NZGaz,ScarNZ,ScarGlobal,GeoNamesNZ,GeoNamesAnt,GeoNames,exactMatch,Close_Match_NZGazAnt,Close_Match_NZGaz,Close_Match_ScarNZ,Close_Match_ScarGlobal,Close_Match_GeoNamesNZ,Close_Match_GeoNamesAnt,Close_Match,PartialMatch_NZGazAnt,PartialMatch_NZGaz,PartialMatch_ScarNZ,PartialMatch_ScarGlobal,PartialMatch_GeoNamesNZ,PartialMatch_GeoNamesAnt,PartialMatch,inNZ,inAntarctica,Found
0,Gomphiocephalus hodgsoni,Gomphiocephalus hodgsoni,True,2146,2148,14067,A = Gomphiocephalus hodgsoni network of 27 unique haplotypes coloured according to collection locations.,True,Antarctica,Antarctica,318,319,"This thesis examines the genetic diversity of invertebrate groups from Antarctica and New Zealand to gain an understanding of current baseline levels of variability and to
facilitate their use as indicators of environmental change.
",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
1,Gomphiocephalus hodgsoni,Gomphiocephalus hodgsoni,True,2146,2148,14067,A = Gomphiocephalus hodgsoni network of 27 unique haplotypes coloured according to collection locations.,True,Mackay Glacier,the Mackay Glacier,606,608,"I also examined mitochondrial DNA (COD) sequences for three Antarctic springtail (Collembola) species collected from sites in the vicinity, and to the north of, the Mackay Glacier (77°S) within the Ross Sea region.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
2,Gomphiocephalus hodgsoni,Gomphiocephalus hodgsoni,True,2146,2148,14067,A = Gomphiocephalus hodgsoni network of 27 unique haplotypes coloured according to collection locations.,True,Ross Sea,the Ross Sea,615,617,"I also examined mitochondrial DNA (COD) sequences for three Antarctic springtail (Collembola) species collected from sites in the vicinity, and to the north of, the Mackay Glacier (77°S) within the Ross Sea region.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
3,Gomphiocephalus hodgsoni,Gomphiocephalus hodgsoni,True,2146,2148,14067,A = Gomphiocephalus hodgsoni network of 27 unique haplotypes coloured according to collection locations.,True,"Mackay Glacier
","the Mackay Glacier
",747,750,"Given the current isolation of these genetically distinct populations, any future changes in species’ distributions can be easily tracked through the DNA barcoding of individual springtails across the Mackay Glacier
ecotone.
",False,False,False,False,False,False,False,False,Mackay Glacier,Mackay Glacier,Mackay Glacier,Mackay Glacier,,Mackay Glacier,True,Mackay Glacier,Mackay Glacier,Mackay Glacier,Mackay Glacier,,Mackay Glacier,True,True,True,True
4,Gomphiocephalus hodgsoni,Gomphiocephalus hodgsoni,True,2146,2148,14067,A = Gomphiocephalus hodgsoni network of 27 unique haplotypes coloured according to collection locations.,True,Antarctica,Antarctica,834,835,", I would like to thank my supervisor Ian Hogg for emailing me one day and asking if I wanted to go to Antarctica, and then saying if so, the proposal is due tomorrow.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
5,Gomphiocephalus hodgsoni,Gomphiocephalus hodgsoni,True,2146,2148,14067,A = Gomphiocephalus hodgsoni network of 27 unique haplotypes coloured according to collection locations.,True,Antarctica,Antarctica,925,926,Thank you to the New Zealand Antarctic Research Institute (NZARI) for the project funding that got our KO24 team to Antarctica and Antarctica New Zealand for logistical support and making sure we were appropriately equipped.,False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
6,Gomphiocephalus hodgsoni,Gomphiocephalus hodgsoni,True,2146,2148,14067,A = Gomphiocephalus hodgsoni network of 27 unique haplotypes coloured according to collection locations.,True,Antarctica,Antarctica,927,928,Thank you to the New Zealand Antarctic Research Institute (NZARI) for the project funding that got our KO24 team to Antarctica and Antarctica New Zealand for logistical support and making sure we were appropriately equipped.,False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
7,Gomphiocephalus hodgsoni,Gomphiocephalus hodgsoni,True,2146,2148,14067,A = Gomphiocephalus hodgsoni network of 27 unique haplotypes coloured according to collection locations.,True,Antarctica,Antarctica,1864,1865,A = general map of Antarctica showing the study area (black box) within the Ross Sea region of the Ross Dependency.,False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
8,Gomphiocephalus hodgsoni,Gomphiocephalus hodgsoni,True,2146,2148,14067,A = Gomphiocephalus hodgsoni network of 27 unique haplotypes coloured according to collection locations.,True,Ross Sea,the Ross Sea,1875,1877,A = general map of Antarctica showing the study area (black box) within the Ross Sea region of the Ross Dependency.,True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
9,Gomphiocephalus hodgsoni,Gomphiocephalus hodgsoni,True,2146,2148,14067,A = Gomphiocephalus hodgsoni network of 27 unique haplotypes coloured according to collection locations.,True,Transantarctic Mountains,the Transantarctic Mountains,1913,1915,"Also pictured are the Western and Eastern Antarctic Ice Sheets (WAIS, EAIS) in addition to North and South Victoria Land (nVL, sVL) and the Transantarctic Mountains.",True,True,True,True,False,True,True,True,,,,,,,,,,,,,,,True,True,True
