FID,place_name_mapping,place_name_gazetteer,gaz_id,altitude,feature_type_name,narrative,gazetteer,latitude,longitude,geometry,scar_common_id,country_name,country_id
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid--705bf013_176d43914a8_bfc,Abbott Peak,Abbott Peak,112592,,Peak,"Pyramidal peak on Ross Island, on the N side of Mount Erebus, between it and Mount Bird. Charted by the BrAE under Scott, 1910-13, and named for Petty Officer George P. Abbott, RN, a member of the expedition.",NZL,-77.4333,167,POINT (167 -77.433333),8,New Zealand,554
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid--705bf013_176d43914a8_bfd,Mount Abbott,"Abbott, Mount",112593,,Mountain,"A mountain 1,020 m, which stands 3 mi NE of Cape Canwe and is the highest point in the Northern Foothills, in Victoria Land. Mapped by the Northern Party of the BrAE, 1910-13, and named for Petty Officer George P. Abbott, RN, a member of the expedition.",NZL,-74.7,163.8333,POINT (163.833333 -74.7),9,New Zealand,554
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid--705bf013_176d43914a8_bfe,Abus Valley,Abus Valley,112594,,Valley,"An ice-free valley 3 mi SE of Turnstile Ridge at the N end of Britannia Range. Named in association with Britannia by a University of Waikato (N.Z.) geological party, 1978-79, led by M.J. Selby. Abus is a historical placename formerly used in Roman Britain.",NZL,-79.8833,155.0833,POINT (155.083333 -79.883333),26,New Zealand,554
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid--705bf013_176d43914a8_bff,Mount Achernar,"Achernar, Mount",112595,,Mountain,"A peak forming the NE end of MacAlpine Hills, on the S side of Law Glacier. Named by the NZGSAE (1961-62) after the star Achernar used in fixing the survey baseline.",NZL,-84.2,160.9333,POINT (160.933333 -84.2),36,New Zealand,554
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid--705bf013_176d43914a8_c00,Mount Achilles,"Achilles, Mount",112596,,Mountain,"A prominent pyramidal mountain (2,880 m) rising from the divide between Fitch Glacier and Man-o-War Glacier in the Admiralty Mountains. Named by NZGSAE, 1957-58, after the former New Zealand cruiser HMNZS Achilles.",NZL,-71.8833,168.1333,POINT (168.133333 -71.883333),39,New Zealand,554
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid--705bf013_176d43914a8_c01,Adams Glacier,Adams Glacier,112597,,Glacier,"A small glacier immediately S of Miers Glacier in Victoria Land. The heads of these two glaciers are separated by a low ridge, and the E end of this ridge is almost completely surrounded by the snouts of the two glaciers, which nearly meet in the bottom of the valley, about 1 mi above Lake Miers, into which they drain. Named by the N.Z. Northern Survey Party of the CTAE (1956-58) after Lt. (later Sir) Jameson B. Adams, second in command of the shore party of the BrAE (1907-09), who was one of the men to accompany Shackleton to within 97 mi of the South Pole.",NZL,-78.1167,163.6333,POINT (163.633333 -78.116667),55,New Zealand,554
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid--705bf013_176d43914a8_c02,Adams Mountains,Adams Mountains,112598,,Mountain,"A small but well defined group of mountains in Queen Alexandra Range, bounded by the Beardmore, Berwick, Moody and Bingley Glaciers. Discovered by BrAE (1907-09) and named Adams Mountains for Lt. Jameson B. Adams, second in command of the expedition. The BrAE (1910-13) restricted the name to ""Mount Adams"" for a high peak in the group, but the original name and application are considered more apt and have been approved.",NZL,-84.5,166.3333,POINT (166.333333 -84.5),57,New Zealand,554
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid--705bf013_176d43914a8_c03,Adams Peak,Adams Peak,112599,,Peak,"Peak, 1,540 m, on the E side of Starshot Glacier, rising 2 mi S of Heale Peak in Surveyors Range. Named by the NZGSAE (1960-61) for C.W. Adams, one of the early New Zealand surveyors, who in 1883 established the Mount Cook (Wellington) latitude which became the fundamental position for all N.Z. surveys up to 1949.",NZL,-81.6333,160.0667,POINT (160.066667 -81.633333),59,New Zealand,554
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid--705bf013_176d43914a8_c04,Adams Ridge,Adams Ridge,112600,,Ridge,"A sharp-crested rock ridge, 4 mi long and rising to 800 m, forming a part of the W margin of Bowers Mountains just S of where Sheehan Glacier enters Rennick Glacier. Named by NZ-APC in 1983 after Chris Adams, New Zealand geologist who worked in northern Victoria Land, 1981-82.",NZL,-71,162.3833,POINT (162.383333 -71),60,New Zealand,554
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid--705bf013_176d43914a8_c05,Adams Stream,Adams Stream,112601,,Watercourse,Small melt stream flowing east into Lake Miers. Name taken from Adams Glacier.,NZL,-78.1,163.75,POINT (163.75 -78.1),62,New Zealand,554
