,Found as,Full name,InDefinitiveList,Start_species,End_species,PositionOfFirstToken,Sentence_species,InReferenceList,Location,Original Tokenised Text,Start_location,End_location,Sentence_location,NZGazAnt,NZGaz,ScarNZ,ScarGlobal,GeoNamesNZ,GeoNamesAnt,GeoNames,exactMatch,Close_Match_NZGazAnt,Close_Match_NZGaz,Close_Match_ScarNZ,Close_Match_ScarGlobal,Close_Match_GeoNamesNZ,Close_Match_GeoNamesAnt,Close_Match,PartialMatch_NZGazAnt,PartialMatch_NZGaz,PartialMatch_ScarNZ,PartialMatch_ScarGlobal,PartialMatch_GeoNamesNZ,PartialMatch_GeoNamesAnt,PartialMatch,inNZ,inAntarctica,Found
0,Cryptopygus antarcticus antarcticus,Cryptopygus antarcticus antarcticus,True,226,229,1330,The native species Cryptopygus antarcticus antarcticus,False,Antarctica,Antarctica,221,222,"A total of ten species were recorded, all of them previously cited from Antarctica.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
1,Cryptopygus antarcticus antarcticus,Cryptopygus antarcticus antarcticus,True,226,229,1330,The native species Cryptopygus antarcticus antarcticus,False,Antarctica,Antarctica,432,433,"The online version of this pelago, Antarctica (Fig. 1).",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
2,Cryptopygus antarcticus antarcticus,Cryptopygus antarcticus antarcticus,True,226,229,1330,The native species Cryptopygus antarcticus antarcticus,False,Antarctica,Antarctica,724,725,"most visited terrestrial sites in Antarctica, receiving 8663 visitors in the 2015—2016 austral summer season",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
3,Cryptopygus antarcticus antarcticus,Cryptopygus antarcticus antarcticus,True,226,229,1330,The native species Cryptopygus antarcticus antarcticus,False,Antarctica,Antarctica,888,889,Collembola in Antarctica are relatively well known due to numerous past studies focused on this taxon,False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
4,Cryptopygus antarcticus antarcticus,Cryptopygus antarcticus antarcticus,True,226,229,1330,The native species Cryptopygus antarcticus antarcticus,False,Antarctica,Antarctica,936,937,"Particularly, Collembola from maritime Antarctica, the region comprising the western side of the Antarctic Peninsula and nearby islands, have been studied intensively (e.g., Willem 1901; Wahlgren 1906; Carpenter and Evans 1906; Weiner 1980; Greenslade 1995, 2010; Greenslade et al. 2012; Russell et al. 2014).",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
5,Cryptopygus antarcticus antarcticus,Cryptopygus antarcticus antarcticus,True,226,229,1330,The native species Cryptopygus antarcticus antarcticus,False,Antarctic Peninsula,the Antarctic Peninsula,946,948,"Particularly, Collembola from maritime Antarctica, the region comprising the western side of the Antarctic Peninsula and nearby islands, have been studied intensively (e.g., Willem 1901; Wahlgren 1906; Carpenter and Evans 1906; Weiner 1980; Greenslade 1995, 2010; Greenslade et al. 2012; Russell et al. 2014).",False,False,False,True,False,False,False,True,,,,,,,,,,,,,,,False,True,True
6,Cryptopygus antarcticus antarcticus,Cryptopygus antarcticus antarcticus,True,226,229,1330,The native species Cryptopygus antarcticus antarcticus,False,Antarctica,Antarctica,1364,1365,"The aim of this study is to identify the Collembola species on Barrientos Island, studying the substrate preferences and the relationships between Collembola distribution and environmental factors in order to contribute new knowledge about the ecology of these arthropods in maritime Antarctica.
",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
7,Cryptopygus antarcticus antarcticus,Cryptopygus antarcticus antarcticus,True,226,229,1330,The native species Cryptopygus antarcticus antarcticus,False,Antarctica,Antarctica,2940,2941,"Eight species are native in Antarctica, Friesea bispinosa Deharveng, 1981, Friesea grisea (Schaffer, 1891), Friesea woyciechowskii Weiner, 1980, Tullbergia mixta Wahlgren, 1906,",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
8,Cryptopygus antarcticus antarcticus,Cryptopygus antarcticus antarcticus,True,226,229,1330,The native species Cryptopygus antarcticus antarcticus,False,Antarctica,Antarctica,3005,3006,"Two species are non-indigenous in Antarctica, Hypogastrura viatica and Mesaphorura macrochaeta (Online Resource 3).",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
9,Cryptopygus antarcticus antarcticus,Cryptopygus antarcticus antarcticus,True,226,229,1330,The native species Cryptopygus antarcticus antarcticus,False,Antarctica,Antarctica,3025,3026,All species have already been recorded in Antarctica (Deharveng 1981; Greenslade et al.,False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
10,Cryptopygus antarcticus antarcticus,Cryptopygus antarcticus antarcticus,True,226,229,1330,The native species Cryptopygus antarcticus antarcticus,False,Antarctica,Antarctica,5218,5219,"(2014) for the maritime Antarctica region, which includes the following: C. a. antarcticus, C. badasa, Friesea grisea, F. woyciechowskii, Folsomotoma octooculata, and Tullbergia mixta.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
11,Cryptopygus antarcticus antarcticus,Cryptopygus antarcticus antarcticus,True,226,229,1330,The native species Cryptopygus antarcticus antarcticus,False,Antarctica,Antarctica,5345,5346,"Accordingly, recent monitoring activities in maritime Antarctica and the northern Antarctic Peninsula have revealed a higher abundance and
distribution of non-indigenous species than was previously known (Greenslade et al.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
12,Cryptopygus antarcticus antarcticus,Cryptopygus antarcticus antarcticus,True,226,229,1330,The native species Cryptopygus antarcticus antarcticus,False,Antarctic Peninsula,Antarctic Peninsula,5349,5351,"Accordingly, recent monitoring activities in maritime Antarctica and the northern Antarctic Peninsula have revealed a higher abundance and
distribution of non-indigenous species than was previously known (Greenslade et al.",False,False,False,True,False,False,False,True,,,,,,,,,,,,,,,False,True,True
13,Cryptopygus antarcticus antarcticus,Cryptopygus antarcticus antarcticus,True,226,229,1330,The native species Cryptopygus antarcticus antarcticus,False,Antarctica,Antarctica,5422,5423,"were found during two different field campaigns (Online Resource 2), expanding existing knowledge of non-indigenous species in maritime Antarctica (Hughes et al. 2015), and suggesting that biosecurity practices employed to date may not be completely adequate.",False,False,False,True,False,True,True,True,,,,,,,,,,,,,,,False,True,True
